id,sku,qty,region,promise,status,exception
ORD-001,SKU-3391,500,Jabodetabek,2026-08-22,At risk,exc-1043
ORD-002,SKU-3391,300,Jabodetabek,2026-08-22,At risk,exc-1043
ORD-003,RM-Steel-A1,12000,Karawang,2026-08-23,At risk,exc-1042
ORD-004,RM-Steel-A1,8000,Karawang,2026-08-24,At risk,exc-1042
ORD-005,SKU-1180,1200,Surabaya,2026-08-23,On track,
ORD-006,SKU-4421,800,Bandung,2026-08-25,On track,
ORD-007,SKU-9913,600,Medan,2026-08-26,On track,
ORD-008,SKU-7702,450,Bali,2026-08-27,On track,
ORD-009,SKU-3391,150,Makassar,2026-08-25,At risk,exc-1044
ORD-010,SKU-3391,280,Makassar,2026-08-26,At risk,exc-1044
ORD-011,SKU-1180,640,Semarang,2026-08-28,On track,
ORD-012,SKU-4421,720,Surabaya,2026-08-28,On track,
ORD-013,RM-Steel-A1,2400,Karawang,2026-08-25,On track,
ORD-014,SKU-9913,500,Bandung,2026-08-29,On track,
ORD-015,SKU-7702,920,Jabodetabek,2026-08-27,On track,
ORD-016,SKU-3391,400,Surabaya,2026-08-23,On track,
ORD-017,SKU-3391,380,Surabaya,2026-08-24,On track,
ORD-018,SKU-4421,280,Bali,2026-08-26,On track,
ORD-019,RM-Steel-A1,1500,Karawang,2026-08-26,On track,
ORD-020,SKU-1180,820,Jabodetabek,2026-08-28,On track,
