mo,line,sku,planned,status,load,qty
MO-4401,Line-A1,RM-Steel-A1,2026-08-22 08:00,Delayed,92,50000
MO-4402,Line-A2,RM-Steel-A1,2026-08-23 08:00,Scheduled,85,50000
MO-4403,Line-B1,SKU-3391,2026-08-22 06:00,Running,118,3000
MO-4404,Line-B2,SKU-3391,2026-08-22 14:00,Scheduled,75,3000
MO-4405,Line-C1,SKU-1180,2026-08-22 08:00,Running,70,5000
MO-4406,Line-C2,SKU-4421,2026-08-23 06:00,Scheduled,65,4000
MO-4407,Line-D1,SKU-9913,2026-08-22 10:00,Running,60,2500
MO-4408,Line-D2,SKU-7702,2026-08-24 08:00,Scheduled,55,3000
MO-4409,Line-A1,RM-Steel-A1,2026-08-24 08:00,Scheduled,80,60000
MO-4410,Line-B1,SKU-3391,2026-08-23 06:00,Scheduled,70,4000
